"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x89b26ca65ac2f6f5c03036466506df52a17af24b97eca8c838a450b7186a6bc1","1614557022",2021-03-01 00:03:42,Buy,9000.21207029483, DAI, 10185.2696963852, HOPR,0.88364985,DAI per HOPR,Uniswap v2
"0x395d8497e38c729513a8720d3130dc8c7c672275c4f87afe915c354fd2b3d5ed","1614557079",2021-03-01 00:04:39,Buy,530.485386511088, DAI, 600, HOPR,0.88414231,DAI per HOPR,Uniswap v2
"0x0f5b77db813789279d51ef75893a2638899a6a0cc5d79e369a47cd2a1bdc8d7d","1614557196",2021-03-01 00:06:36,Buy,1241.14759935999, DAI, 1403.6420803213, HOPR,0.88423368,DAI per HOPR,Uniswap v2
"0x78987d5dc95016a64d549b176e030be0002e14745cfc867b9202fc1cdb6871a7","1614557209",2021-03-01 00:06:49,Buy,38521.5920448923, DAI, 43464.2202031937, HOPR,0.88628283,DAI per HOPR,Uniswap v2
"0xc0470398f6238f9054dfcefdf6623813b22d0980e58cec4fb3d375fc13bbc7dc","1614557209",2021-03-01 00:06:49,Buy,4387.70153631261, DAI, 4938.29763356901, HOPR,0.88850488,DAI per HOPR,Uniswap v2
"0x39b8f4a48a3a8b718ce2db453d164315e7d82c3f445788ad84160d7e311daf0c","1614557209",2021-03-01 00:06:49,Buy,100216.310832267, DAI, 112110.163019055, HOPR,0.89390924,DAI per HOPR,Uniswap v2
"0x8f88cf6ed0b78d0a277f4e4147f72d77c158c83ee523a85eaa4f50c902822833","1614557209",2021-03-01 00:06:49,Sell,43464.2202031937, HOPR, 38758.6773253912, DAI,0.89173755,DAI per HOPR,Uniswap v2
"0x06e94b9719062ff455f41eadaaf3baf4a682e156a99274f444204c56c9d1ac6e","1614557209",2021-03-01 00:06:49,Sell,4938.29763356901, HOPR, 4392.62153643905, DAI,0.88950117,DAI per HOPR,Uniswap v2
"0x27964e1d9faa7894babf0bcaf7ec50ce09f1c015dd363f518e520cb97e7282aa","1614557374",2021-03-01 00:09:34,Buy,17911.2315400471, DAI, 20000, HOPR,0.89556158,DAI per HOPR,Uniswap v2
"0xac3eb90492454d49016874622bc8182a3fbefcb49108022c48f2652680d16f1d","1614557481",2021-03-01 00:11:21,Buy,42878.5255918221, DAI, 47710.7507427762, HOPR,0.89871832,DAI per HOPR,Uniswap v2
"0x2d735f53d394557570ce2a28756d5edb8c38e02c093d8f03f850cdcac9e1a889","1614557618",2021-03-01 00:13:38,Buy,10948.5493325377, DAI, 12144.4812901345, HOPR,0.90152466,DAI per HOPR,Uniswap v2
"0xe36e846b8e47a55c4e30c20aaa51e73aa39dba5a7c3a51cb83c4a7ef7d75681b","1614557707",2021-03-01 00:15:07,Buy,141.319957523884, DAI, 156.656028502857, HOPR,0.90210354,DAI per HOPR,Uniswap v2
"0xfd8edd0294aefea76fc4a11f7f8a16df627e3f0ff90ff18c15ad4778041dd160","1614557724",2021-03-01 00:15:24,Buy,0.902110961818446, DAI, 1, HOPR,0.90211096,DAI per HOPR,Uniswap v2
"0x8d1b3048ad24c4632940b7637994aa45bc5c6ad45003a8460ae970e4aff17b93","1614557724",2021-03-01 00:15:24,Buy,28722, DAI, 31785.9830986351, HOPR,0.90360584,DAI per HOPR,Uniswap v2
"0xc3090a80ff068b8dc920f74a6f4d973a9e43be7c423c682f8291088983e00192","1614557750",2021-03-01 00:15:50,Buy,1, DAI, 1.10484088339043, HOPR,0.90510771,DAI per HOPR,Uniswap v2
"0x4d6d7d7b696726a5e1dea300bf34085be53c770d6b948a5d89aad1d037f1f4f4","1614557838",2021-03-01 00:17:18,Buy,2860.4441784788, DAI, 3159.81490537063, HOPR,0.90525688,DAI per HOPR,Uniswap v2
"0x01be5995f26533aec63b21a66bb80c78658ce57cad07a2b17b5ac748fc1c6803","1614557914",2021-03-01 00:18:34,Buy,50, DAI, 55.2236566468755, HOPR,0.90540908,DAI per HOPR,Uniswap v2
"0x1bc31ed73cb2450a04f26728b04c617dc6347613c98c72ee6b2f255348b78ebd","1614558227",2021-03-01 00:23:47,Buy,729.825274481563, DAI, 806.036203076035, HOPR,0.90544974,DAI per HOPR,Uniswap v2
"0x82fa89353e3b181292cac56106604bbf0c23b9a0001e305877add84908a7b889","1614558243",2021-03-01 00:24:03,Sell,600, HOPR, 0.380708135727432, ETH,0.00063451,ETH per HOPR,Uniswap v2
"0x6457872119dd5b278da2cfeb337909895f0906b7de0a03280c6ba593132b8cfb","1614558331",2021-03-01 00:25:31,Buy,2483.7177, DAI, 2742.5683791837, HOPR,0.90561742,DAI per HOPR,Uniswap v2
