"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x5ba9ac333235d6674e4c86b41ec4c5d4e660afd35bbd2f5e7682a67b4a79e321","1614541122",2021-02-28 19:38:42,Buy,3926.34098142, DAI, 4740.1270420488, HOPR,0.82831978,DAI per HOPR,Uniswap v2
"0x25f0f63f9dbb17d62c0f8ad53ec7733a91accc1f521073df29892481193de920","1614541122",2021-02-28 19:38:42,Sell,44196.2330508038, HOPR, 36317.3494486741, DAI,0.82172952,DAI per HOPR,Uniswap v2
"0x5d8d81c671a060767b8d1307ad0905e0d8b1e2a28ae538f76bdeeb9fe912812f","1614541122",2021-02-28 19:38:42,Sell,5022.24770674735, HOPR, 4116.71919997054, DAI,0.81969657,DAI per HOPR,Uniswap v2
"0x87a3c6789744e2b644e2de4e8f5b4814d8d89fb22d184f17d7669a9371ceaec6","1614541131",2021-02-28 19:38:51,Buy,37144.2145567562, DAI, 44952.6535496946, HOPR,0.82629637,DAI per HOPR,Uniswap v2
"0xdf6c01b150b03909881441af1eb2757500e904e4dfc82333c88c919768ccdcc7","1614541221",2021-02-28 19:40:21,Buy,4231.3872584782, DAI, 5107.98290485313, HOPR,0.82838712,DAI per HOPR,Uniswap v2
"0x200393501921672b7ef4e5fcc296bf61dd31066d06496fca94cf8fdb4ac0165e","1614541237",2021-02-28 19:40:37,Buy,403063.716815966, DAI, 474796.647409, HOPR,0.84891862,DAI per HOPR,Uniswap v2
"0x014f56e7c8d439587002bd9e74dcab4a37102be7a81cd608ef3c9c56d450d154","1614541237",2021-02-28 19:40:37,Buy,3.74826008907856, ETH, 6042.95785828889, HOPR,0.00062027,ETH per HOPR,Uniswap v2
"0x014f56e7c8d439587002bd9e74dcab4a37102be7a81cd608ef3c9c56d450d154","1614541237",2021-02-28 19:40:37,Sell,6042.95785828889, HOPR, 5223.03203038679, DAI,0.86431714,DAI per HOPR,Uniswap v2
"0x50e034dd688c0924fec7b51f040c39c3e4c11d1f968c881a9176de05e0a87ec7","1614541237",2021-02-28 19:40:37,Sell,44952.6535496946, HOPR, 38751.5621964024, DAI,0.86205283,DAI per HOPR,Uniswap v2
"0x86053b0a7efa6c8822df6b21c881ad083af6d4d5ac17b43cd2ebd44bc6d21cb2","1614541237",2021-02-28 19:40:37,Sell,5107.98290485313, HOPR, 4392.00338462693, DAI,0.85983126,DAI per HOPR,Uniswap v2
"0xcbe1258574a4270882467866595eeaff4078ef24c887af9e4cf43d8cd024b652","1614541256",2021-02-28 19:40:56,Sell,15992, HOPR, 13735.527403872, DAI,0.85889991,DAI per HOPR,Uniswap v2
"0x3b0000a2214de77474499f280bb0a9d6daa46c4131a045dacdd282528f3b4175","1614541276",2021-02-28 19:41:16,Buy,0.75, ETH, 1176.95042770637, HOPR,0.00063724,ETH per HOPR,Uniswap v2
"0x6f65d08043bf6df2bf391d5cf3e150948cd7211c14e932cafb04a8ec4a3ca5bb","1614541374",2021-02-28 19:42:54,Sell,500, HOPR, 0.317526137871301, ETH,0.00063505,ETH per HOPR,Uniswap v2
"0x7fdb288ee61983e9d194137ec72526b4e493735ea251ea848323b76612b4aee1","1614541375",2021-02-28 19:42:55,Buy,3025.73283512272, DAI, 3503.94699031298, HOPR,0.86352129,DAI per HOPR,Uniswap v2
"0x8e2a0de78055635eec2a8319d8101d1788715a2c714facae48e24cf733299df1","1614541375",2021-02-28 19:42:55,Buy,8.31645999169696E+20, , 9.62864980625979E+20, ,0.86372027, per ,
"0xac0879e106ea78fb2597f7de15e8b5a1f79284873a29dd55740b0980fb96a4ad","1614541409",2021-02-28 19:43:29,Buy,1.52532069469052E+22, , 1.7642980618021E+22, ,0.86454819, per ,
"0x989c9858955935378d003589385be5e494fd1c4f5651240959dd0950de2d047f","1614541465",2021-02-28 19:44:25,Swap,5.7586255037394E+17, , 9E+20, ,0.00063985, per ,
"0xcd57ae1fd44d58473cd64b99dac7a3c54cf43cb84dcd3bf8293bd02613d5f0d9","1614541475",2021-02-28 19:44:35,Buy,3.91814678029786E+21, , 4.52683347049806E+21, ,0.86553809, per ,
"0xfa1cc8a81faee7f787ac07fbe97e86c224f7d4d4d5d6d5e1c0d844653be8e934","1614541526",2021-02-28 19:45:26,Buy,1.1800527824025E+22, , 1.36209930906434E+22, ,0.86634857, per ,
"0x6cdbea06e76e77fff472bd85f3ea0bbf89d422bb3691287ac9444ec09804e24c","1614541606",2021-02-28 19:46:46,Buy,5.71414077607711E+20, , 6.59079354913567E+20, ,0.86698828, per ,
"0x089ceacfb8e7a2c4d9a5080f8f4cd4554a6872c40317566ea1a9eb3e31fefcf8","1614541736",2021-02-28 19:48:56,Buy,1.30062734193842E+21, , 1.5E+21, ,0.86708489, per ,
"0x500fe28a874ea86e677739583531d722c4d7e961c0861b69fcf57e5775f86694","1614541761",2021-02-28 19:49:21,Buy,2.59386981313314E+22, , 2.98664434594935E+22, ,0.86848969, per ,
"0x01108022bb72b6f83c3e88b122de242b36db4525a8d47c480083a9e66efc1e45","1614541781",2021-02-28 19:49:41,Swap,3E+17, , 4.66439886462334E+20, ,0.00064317, per ,
"0x85d6baf460b48e88446204ee0e06f0dbf5d334b2cd162fcfbe084ebe941174b4","1614541833",2021-02-28 19:50:33,Buy,2.73978547073542E+21, , 3.14926992496755E+21, ,0.86997480, per ,
